ts_utc,couples_online,total_online
2026-08-15T02:03:41+00:00,63,961
2026-08-15T03:01:24+00:00,65,931
2026-08-15T03:50:37+00:00,80,934
2026-08-15T04:16:45+00:00,79,939
2026-08-15T04:52:30+00:00,73,967
2026-08-15T05:13:36+00:00,73,936
2026-08-15T05:39:41+00:00,68,946
2026-08-15T05:57:59+00:00,55,942
2026-08-15T06:27:58+00:00,66,998
2026-08-15T07:05:53+00:00,72,1024
2026-08-15T07:40:06+00:00,59,998
2026-08-15T07:57:13+00:00,65,1037
2026-08-15T08:18:31+00:00,70,1060
2026-08-15T08:50:26+00:00,73,1026
2026-08-15T09:13:42+00:00,71,991
2026-08-15T09:39:24+00:00,66,998
2026-08-15T09:55:31+00:00,69,988
2026-08-15T10:10:13+00:00,61,932
2026-08-15T10:35:36+00:00,62,941
2026-08-15T10:55:32+00:00,74,963
2026-08-15T11:09:02+00:00,63,893
2026-08-15T11:31:58+00:00,62,925
2026-08-15T11:53:22+00:00,71,988
2026-08-15T12:11:57+00:00,64,998
2026-08-15T12:56:58+00:00,68,1084
2026-08-15T13:23:33+00:00,67,1172
2026-08-15T13:47:39+00:00,68,1201
2026-08-15T14:09:58+00:00,73,1229
2026-08-15T14:35:43+00:00,66,1215
2026-08-15T14:56:10+00:00,72,1229
2026-08-15T15:10:05+00:00,65,1190
2026-08-15T15:32:40+00:00,62,1193
2026-08-15T15:54:06+00:00,58,1191
2026-08-15T16:08:35+00:00,56,1184
2026-08-15T16:37:43+00:00,56,1184
2026-08-15T16:56:34+00:00,59,1178
2026-08-15T17:12:23+00:00,60,1176
2026-08-15T17:33:22+00:00,55,1178
2026-08-15T17:54:53+00:00,61,1171
2026-08-15T18:09:09+00:00,63,1158
2026-08-15T18:44:25+00:00,58,1156
2026-08-15T19:02:43+00:00,62,1156
2026-08-15T19:31:31+00:00,83,1230
2026-08-15T19:52:27+00:00,88,1294
2026-08-15T20:07:47+00:00,89,1307
2026-08-15T20:35:55+00:00,92,1391
2026-08-15T20:55:57+00:00,98,1423
2026-08-15T21:10:28+00:00,99,1428
2026-08-15T21:32:47+00:00,92,1397
2026-08-15T21:53:52+00:00,84,1372
2026-08-15T22:07:22+00:00,86,1334
2026-08-15T22:34:44+00:00,83,1275
2026-08-15T22:55:08+00:00,79,1278
2026-08-15T23:08:14+00:00,68,1200
2026-08-15T23:31:39+00:00,58,1178
2026-08-15T23:54:06+00:00,58,1152
2026-08-16T00:28:57+00:00,54,1062
2026-08-16T02:05:20+00:00,48,879
2026-08-16T03:10:11+00:00,68,822
2026-08-16T03:56:18+00:00,71,838
2026-08-16T04:25:28+00:00,70,838
2026-08-16T04:56:19+00:00,56,805
2026-08-16T05:18:42+00:00,62,769
2026-08-16T05:49:21+00:00,73,831
2026-08-16T06:17:20+00:00,67,841
2026-08-16T07:05:44+00:00,63,840
2026-08-16T07:42:18+00:00,58,841
2026-08-16T07:58:36+00:00,55,845
2026-08-16T08:23:35+00:00,58,860
2026-08-16T08:52:10+00:00,53,839
2026-08-16T09:14:15+00:00,59,834
2026-08-16T09:41:50+00:00,58,844
2026-08-16T09:57:21+00:00,63,815
2026-08-16T10:15:28+00:00,58,788
2026-08-16T10:44:40+00:00,51,797
2026-08-16T10:58:54+00:00,59,830
2026-08-16T11:17:40+00:00,54,790
2026-08-16T11:40:32+00:00,57,809
2026-08-16T11:54:00+00:00,60,830
2026-08-16T12:12:40+00:00,60,864
2026-08-16T12:58:51+00:00,61,894
2026-08-16T13:27:57+00:00,57,881
2026-08-16T13:51:06+00:00,59,908
2026-08-16T14:10:32+00:00,61,954
2026-08-16T14:35:29+00:00,66,939
2026-08-16T14:56:13+00:00,69,942
2026-08-16T15:11:14+00:00,59,929
